Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,Revenue,Year,Month,Month_Name,Quarter,Day,Weekday,Weekend_Flag,Revenue_Category,Churn_Status,Inventory_Risk,Order_Size,Recency,Frequency,Monetary,Cluster,Segment,Churn,Churn_Prediction
504631,22406,MONEY BOX KINGS CHOICE DESIGN,12,2010-04-15 12:55:00,1.25,13647.0,United Kingdom,15.0,2010,4,April,2,15,Thursday,False,Low,Active,Low Risk,Small,10,8,3071.68,1,Regular,0,0
531792,22585,PACK OF 6 BIRDY GIFT TAGS,6,2010-11-09 15:20:00,1.25,14899.0,United Kingdom,7.5,2010,11,November,4,9,Tuesday,False,Low,At Risk,Low Risk,Small,395,1,1384.88,0,VIP,1,1
522950,22691,DOORMAT WELCOME SUNRISE,1,2010-09-19 10:33:00,7.95,13542.0,United Kingdom,7.95,2010,9,September,3,19,Sunday,True,Low,At Risk,High Risk,Small,377,17,4006.17,0,VIP,1,1
549927,16156S,WRAP PINK FAIRY CAKES ,400,2011-04-13 10:19:00,0.34,16684.0,United Kingdom,136.0,2011,4,April,2,13,Wednesday,False,Medium,Active,Low Risk,Medium,4,55,147142.77,2,Loyal,0,0
565443,22341,LOVE GARLAND PAINTED ZINC ,12,2011-09-04 14:22:00,1.65,12567.0,France,19.8,2011,9,September,3,4,Sunday,True,Low,Active,Low Risk,Small,23,15,13709.86,1,Regular,0,0
571054,85032B,BLOSSOM IMAGES GIFT WRAP SET,1,2011-10-13 13:58:00,0.65,14234.0,United Kingdom,0.65,2011,10,October,4,13,Thursday,False,Low,Active,High Risk,Small,22,4,775.46,1,Regular,0,0
577308,22423,REGENCY CAKESTAND 3 TIER,2,2011-11-18 13:14:00,12.75,15088.0,United Kingdom,25.5,2011,11,November,4,18,Friday,False,Low,Active,High Risk,Small,21,2,1160.07,1,Regular,0,0
518260,48187,DOORMAT NEW ENGLAND,2,2010-08-05 18:18:00,7.49,17049.0,United Kingdom,14.98,2010,8,August,3,5,Thursday,False,Low,Active,High Risk,Small,3,19,9947.48,1,Regular,0,0
536381,84854,GIRLY PINK TOOL SET,5,2010-12-01 09:41:00,4.95,15311.0,United Kingdom,24.75,2010,12,December,4,1,Wednesday,False,Low,Active,Low Risk,Small,1,208,116771.16,2,Loyal,0,0
522501,15056N,EDWARDIAN PARASOL NATURAL,60,2010-09-15 11:07:00,4.95,15039.0,United Kingdom,297.0,2010,9,September,3,15,Wednesday,False,High,Active,Low Risk,Medium,10,93,40031.43,2,Loyal,0,0
503933,22217,T-LIGHT HOLDER HANGING LACE,12,2010-04-08 13:54:00,1.25,18065.0,United Kingdom,15.0,2010,4,April,2,8,Thursday,False,Low,Active,Low Risk,Small,6,29,5866.63,1,Regular,0,0
542303,21843,RED RETROSPOT CAKE STAND,1,2011-01-27 11:05:00,10.95,12539.0,Spain,10.95,2011,1,January,1,27,Thursday,False,Low,Active,High Risk,Small,22,7,11214.75,1,Regular,0,0
578791,22055,MINI CAKE STAND  HANGING STRAWBERY,1,2011-11-25 12:20:00,1.65,12841.0,United Kingdom,1.65,2011,11,November,4,25,Friday,False,Low,Active,High Risk,Small,5,40,7540.68,1,Regular,0,0
545023,22464,HANGING METAL HEART LANTERN,12,2011-02-25 14:25:00,1.65,12921.0,United Kingdom,19.8,2011,2,February,1,25,Friday,False,Low,Active,Low Risk,Small,9,74,35921.04,2,Loyal,0,0
526197,22905,CALENDAR IN SEASON DESIGN,2,2010-10-10 12:53:00,2.95,17757.0,United Kingdom,5.9,2010,10,October,4,10,Sunday,True,Low,Active,High Risk,Small,1,56,9422.45,1,Regular,0,0
569630,20727,LUNCH BAG  BLACK SKULL.,10,2011-10-05 11:44:00,1.65,13458.0,United Kingdom,16.5,2011,10,October,4,5,Wednesday,False,Low,Active,Low Risk,Small,7,16,11959.27,1,Regular,0,0
552108,21756,BATH BUILDING BLOCK WORD,1,2011-05-06 11:36:00,5.95,17841.0,United Kingdom,5.95,2011,5,May,2,6,Friday,False,Low,Active,High Risk,Small,2,211,70884.07,2,Loyal,0,0
560872,21868,POTTING SHED TEA MUG,24,2011-07-21 14:41:00,1.25,14745.0,United Kingdom,30.0,2011,7,July,3,21,Thursday,False,Low,At Risk,Low Risk,Small,113,12,2571.81,1,Regular,1,1
546752,22501,PICNIC BASKET WICKER LARGE,6,2011-03-16 12:55:00,9.95,13299.0,United Kingdom,59.7,2011,3,March,1,16,Wednesday,False,Medium,At Risk,Low Risk,Small,268,3,1218.7,0,VIP,1,1
533759,22572,ROCKING HORSE GREEN CHRISTMAS ,24,2010-11-18 14:45:00,0.85,14911.0,EIRE,20.4,2010,11,November,4,18,Thursday,False,Low,Active,Low Risk,Small,1,398,295972.63,3,At Risk,0,0
569493,22690,DOORMAT HOME SWEET HOME BLUE ,2,2011-10-04 13:35:00,8.25,13317.0,United Kingdom,16.5,2011,10,October,4,4,Tuesday,False,Low,Active,High Risk,Small,66,19,6486.091,1,Regular,0,0
578129,21264,WHITE GOOSE FEATHER TREE 60CM ,12,2011-11-23 10:39:00,1.95,13502.0,United Kingdom,23.4,2011,11,November,4,23,Wednesday,False,Low,Active,Low Risk,Small,17,5,780.5,1,Regular,0,0
526375,22157,ANGEL DECORATION WITH LACE PADDED,24,2010-10-11 12:26:00,0.85,18245.0,United Kingdom,20.4,2010,10,October,4,11,Monday,False,Low,Active,Low Risk,Small,7,20,6324.9800000000005,1,Regular,0,0
489599,85099B,JUMBO BAG RED WHITE SPOTTY ,30,2009-12-01 14:40:00,1.95,12758.0,Portugal,58.5,2009,12,December,4,1,Tuesday,False,Medium,At Risk,Low Risk,Small,117,7,9903.24,1,Regular,1,1
508211,21713,CITRONELLA CANDLE FLOWERPOT,48,2010-05-13 14:42:00,0.85,15210.0,United Kingdom,40.8,2010,5,May,2,13,Thursday,False,Low,At Risk,Low Risk,Small,225,3,1176.19,1,Regular,1,1
490008,22031,BOTANICAL LAVENDER BIRTHDAY CARD,12,2009-12-03 12:10:00,0.42,15768.0,United Kingdom,5.04,2009,12,December,4,3,Thursday,False,Low,At Risk,Low Risk,Small,116,34,15601.09,1,Regular,1,1
524972,22637,PIGGY BANK RETROSPOT ,6,2010-10-01 14:57:00,2.55,13849.0,United Kingdom,15.3,2010,10,October,4,1,Friday,False,Low,Active,Low Risk,Small,52,5,3469.3,1,Regular,0,0
560018,22332,SKULLS PARTY BAG + STICKER SET,3,2011-07-14 12:52:00,1.65,15987.0,United Kingdom,4.949999999999999,2011,7,July,3,14,Thursday,False,Low,Active,High Risk,Small,12,8,1682.13,1,Regular,0,0
558100,22690,DOORMAT HOME SWEET HOME BLUE ,1,2011-06-26 13:46:00,7.95,17768.0,United Kingdom,7.95,2011,6,June,2,26,Sunday,True,Low,Active,High Risk,Small,8,7,3509.51,1,Regular,0,0
545075,84970S,HANGING HEART ZINC T-LIGHT HOLDER,12,2011-02-28 09:33:00,0.85,14211.0,United Kingdom,10.2,2011,2,February,1,28,Monday,False,Low,Active,Low Risk,Small,53,18,4402.29,1,Regular,0,0
519343,21278,VINTAGE KITCHEN PRINT PUDDINGS,6,2010-08-16 12:12:00,2.55,12687.0,Sweden,15.3,2010,8,August,3,16,Monday,False,Low,At Risk,Low Risk,Small,481,2,2138.91,0,VIP,1,1
541883,22773,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,24,2011-01-24 10:56:00,1.25,13408.0,United Kingdom,30.0,2011,1,January,1,24,Monday,False,Low,Active,Low Risk,Small,2,106,51733.462,2,Loyal,0,0
539988,22568,FELTCRAFT CUSHION OWL,1,2010-12-23 16:06:00,3.75,18116.0,United Kingdom,3.75,2010,12,December,4,23,Thursday,False,Low,Active,High Risk,Small,68,13,2154.3,1,Regular,0,0
535875,85099F,JUMBO BAG STRAWBERRY,10,2010-11-29 10:50:00,1.95,15747.0,United Kingdom,19.5,2010,11,November,4,29,Monday,False,Low,Active,Low Risk,Small,13,9,2562.61,1,Regular,0,0
566620,22748,POPPY'S PLAYHOUSE KITCHEN,6,2011-09-14 09:21:00,2.1,13588.0,United Kingdom,12.6,2011,9,September,3,14,Wednesday,False,Low,Active,Low Risk,Small,16,9,2478.95,1,Regular,0,0
554355,22624,IVORY KITCHEN SCALES,2,2011-05-24 09:20:00,8.5,16992.0,United Kingdom,17.0,2011,5,May,2,24,Tuesday,False,Low,Active,High Risk,Small,11,13,5476.5,1,Regular,0,0
574896,23398,HANGING HEART BONHEUR,4,2011-11-07 14:51:00,0.85,17014.0,United Kingdom,3.4,2011,11,November,4,7,Monday,False,Low,Active,High Risk,Small,8,3,586.33,1,Regular,0,0
570664,21463,MIRRORED DISCO BALL ,1,2011-10-11 14:21:00,5.95,16362.0,United Kingdom,5.95,2011,10,October,4,11,Tuesday,False,Low,Active,High Risk,Small,32,6,946.94,1,Regular,0,0
497894,82578,KITCHEN METAL SIGN,4,2010-02-14 12:36:00,0.55,15425.0,United Kingdom,2.2,2010,2,February,1,14,Sunday,True,Low,At Risk,High Risk,Small,400,4,1944.57,0,VIP,1,1
572306,20735,BLACK MINI TAPE MEASURE ,2,2011-10-23 15:11:00,0.85,17841.0,United Kingdom,1.7,2011,10,October,4,23,Sunday,True,Low,Active,High Risk,Small,2,211,70884.07,2,Loyal,0,0
525472,21882,SKULLS TAPE,12,2010-10-05 15:15:00,0.65,16129.0,United Kingdom,7.800000000000001,2010,10,October,4,5,Tuesday,False,Low,At Risk,Low Risk,Small,407,3,1396.05,0,VIP,1,1
501038,72741,GRAND CHOCOLATECANDLE,9,2010-03-12 09:21:00,1.25,17448.0,United Kingdom,11.25,2010,3,March,1,12,Friday,False,Low,At Risk,Low Risk,Small,497,46,14556.97,0,VIP,1,1
550312,82482,WOODEN PICTURE FRAME WHITE FINISH,24,2011-04-17 11:18:00,2.55,13089.0,United Kingdom,61.2,2011,4,April,2,17,Sunday,True,Medium,Active,Low Risk,Small,3,203,116737.86,2,Loyal,0,0
526873,20725,LUNCH BAG RED RETROSPOT,10,2010-10-13 14:12:00,1.65,12921.0,United Kingdom,16.5,2010,10,October,4,13,Wednesday,False,Low,Active,Low Risk,Small,9,74,35921.04,2,Loyal,0,0
536987,22961,JAM MAKING SET PRINTED,1,2010-12-03 14:54:00,1.45,17198.0,United Kingdom,1.45,2010,12,December,4,3,Friday,False,Low,Active,High Risk,Small,24,3,1213.88,1,Regular,0,0
562125,22302,COFFEE MUG PEARS  DESIGN,6,2011-08-02 17:29:00,2.55,17887.0,United Kingdom,15.3,2011,8,August,3,2,Tuesday,False,Low,At Risk,Low Risk,Small,129,1,111.35,1,Regular,1,1
535425,21380,WOODEN HAPPY BIRTHDAY GARLAND,1,2010-11-26 12:00:00,2.95,17796.0,United Kingdom,2.95,2010,11,November,4,26,Friday,False,Low,Active,High Risk,Small,40,7,1361.99,1,Regular,0,0
516485,21498,RED SPOTS  WRAP ,25,2010-07-21 09:46:00,0.42,12720.0,Germany,10.5,2010,7,July,3,21,Wednesday,False,Low,Active,Low Risk,Small,3,30,8260.67,1,Regular,0,0
535268,22739,RIBBON REEL CHRISTMAS SOCK BAUBLE,5,2010-11-25 13:38:00,1.65,12841.0,United Kingdom,8.25,2010,11,November,4,25,Thursday,False,Low,Active,Low Risk,Small,5,40,7540.68,1,Regular,0,0
507379,85150,LADIES & GENTLEMEN METAL SIGN,6,2010-05-09 11:39:00,2.55,14916.0,United Kingdom,15.3,2010,5,May,2,9,Sunday,True,Low,Active,Low Risk,Small,71,8,3042.95,1,Regular,0,0
489640,84559B,3D SHEET OF CAT STICKERS,13,2009-12-01 16:17:00,0.85,17345.0,United Kingdom,11.05,2009,12,December,4,1,Tuesday,False,Low,Active,Low Risk,Small,15,10,1604.68,1,Regular,0,0
559025,23203,JUMBO BAG DOILEY PATTERNS,10,2011-07-05 13:56:00,2.08,16338.0,United Kingdom,20.8,2011,7,July,3,5,Tuesday,False,Low,At Risk,Low Risk,Small,157,1,214.8,1,Regular,1,1
538630,22377,BOTTLE BAG RETROSPOT ,5,2010-12-13 13:25:00,2.1,14565.0,United Kingdom,10.5,2010,12,December,4,13,Monday,False,Low,At Risk,Low Risk,Small,96,5,3859.22,1,Regular,1,1
497691,22021,BLUE FELT EASTER EGG BASKET,3,2010-02-11 15:29:00,1.65,14040.0,United Kingdom,4.949999999999999,2010,2,February,1,11,Thursday,False,Low,Active,High Risk,Small,41,35,12645.57,1,Regular,0,0
581003,23302,KNEELING MAT HOUSEWORK  DESIGN,24,2011-12-07 08:38:00,0.79,14911.0,EIRE,18.96,2011,12,December,4,7,Wednesday,False,Low,Active,Low Risk,Small,1,398,295972.63,3,At Risk,0,0
534497,21975,PACK OF 60 DINOSAUR CAKE CASES,2,2010-11-23 11:00:00,0.55,17811.0,United Kingdom,1.1,2010,11,November,4,23,Tuesday,False,Low,Active,High Risk,Small,4,47,9609.8,1,Regular,0,0
490118,85167A,WHITE GRAND BAROQUE PHOTO FRAME,2,2009-12-03 17:46:00,4.25,17851.0,United Kingdom,8.5,2009,12,December,4,3,Thursday,False,Low,At Risk,High Risk,Small,422,6,1563.34,0,VIP,1,1
565453,20725,LUNCH BAG RED RETROSPOT,10,2011-09-04 16:05:00,1.65,15136.0,United Kingdom,16.5,2011,9,September,3,4,Sunday,True,Low,Active,Low Risk,Small,3,4,1286.7,1,Regular,0,0
493759,21905,MORE BUTTER METAL SIGN ,1,2010-01-06 13:56:00,2.1,17965.0,United Kingdom,2.1,2010,1,January,1,6,Wednesday,False,Low,Active,High Risk,Small,38,29,7240.98,1,Regular,0,0
558868,21746,SMALL RED RETROSPOT WINDMILL,12,2011-07-04 12:47:00,1.25,13266.0,United Kingdom,15.0,2011,7,July,3,4,Monday,False,Low,Active,Low Risk,Small,11,19,6135.04,1,Regular,0,0
540455,20750,RED RETROSPOT MINI CASES,4,2011-01-07 12:07:00,7.95,12583.0,France,31.8,2011,1,January,1,7,Friday,False,Low,Active,High Risk,Small,3,27,14447.44,1,Regular,0,0
493819,21584,RETRO SPOT SMALL TUBE MATCHES,480,2010-01-07 12:34:00,1.45,14156.0,EIRE,696.0,2010,1,January,1,7,Thursday,False,High,Active,Low Risk,Large,10,156,313946.37,3,At Risk,0,0
539761,84826,ASSTD DESIGN 3D PAPER STICKERS,60,2010-12-22 10:29:00,0.21,17593.0,United Kingdom,12.6,2010,12,December,4,22,Wednesday,False,Low,Active,Low Risk,Small,4,11,8095.8,1,Regular,0,0
544161,22767,TRIPLE PHOTO FRAME CORNICE ,4,2011-02-16 12:59:00,9.95,16875.0,United Kingdom,39.8,2011,2,February,1,16,Wednesday,False,Low,Active,High Risk,Small,67,11,4234.53,1,Regular,0,0
538170,21484,CHICK GREY HOT WATER BOTTLE,5,2010-12-09 19:32:00,3.45,13969.0,United Kingdom,17.25,2010,12,December,4,9,Thursday,False,Low,Active,Low Risk,Small,7,35,13365.87,1,Regular,0,0
521839,22393,PAPERWEIGHT VINTAGE COLLAGE,6,2010-09-09 10:50:00,2.55,12635.0,Germany,15.3,2010,9,September,3,9,Thursday,False,Low,Active,Low Risk,Small,90,4,2930.41,1,Regular,0,0
534499,84997A,GREEN 3 PIECE POLKADOT CUTLERY SET,1,2010-11-23 11:12:00,3.75,17372.0,United Kingdom,3.75,2010,11,November,4,23,Tuesday,False,Low,Active,High Risk,Small,41,28,4377.56,1,Regular,0,0
536796,21981,PACK OF 12 WOODLAND TISSUES ,1,2010-12-02 15:46:00,0.29,15574.0,United Kingdom,0.29,2010,12,December,4,2,Thursday,False,Low,At Risk,High Risk,Small,178,6,1518.7,1,Regular,1,1
579171,22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,6,2011-11-28 14:30:00,4.95,13030.0,United Kingdom,29.700000000000003,2011,11,November,4,28,Monday,False,Low,Active,Low Risk,Small,11,2,1227.22,1,Regular,0,0
508103,82486,WOOD S/3 CABINET ANT WHITE FINISH,2,2010-05-13 10:15:00,7.95,14039.0,United Kingdom,15.9,2010,5,May,2,13,Thursday,False,Low,Active,High Risk,Small,33,2,267.28000000000003,1,Regular,0,0
556495,20828,GLITTER BUTTERFLY CLIPS,2,2011-06-12 15:14:00,2.55,18069.0,United Kingdom,5.1,2011,6,June,2,12,Sunday,True,Low,Active,High Risk,Small,26,11,4540.56,1,Regular,0,0
537399,21931,JUMBO STORAGE BAG SUKI,1,2010-12-06 14:31:00,1.95,13030.0,United Kingdom,1.95,2010,12,December,4,6,Monday,False,Low,Active,High Risk,Small,11,2,1227.22,1,Regular,0,0
553183,22520,CHILDS GARDEN TROWEL BLUE ,12,2011-05-15 12:31:00,0.85,16076.0,United Kingdom,10.2,2011,5,May,2,15,Sunday,True,Low,Active,Low Risk,Small,3,10,2234.73,1,Regular,0,0
549981,21891,TRADITIONAL WOODEN SKIPPING ROPE,2,2011-04-13 15:49:00,1.45,16348.0,United Kingdom,2.9,2011,4,April,2,13,Wednesday,False,Low,Active,High Risk,Small,32,8,1798.22,1,Regular,0,0
579102,22795,SWEETHEART RECIPE BOOK STAND,2,2011-11-28 11:33:00,6.75,14911.0,EIRE,13.5,2011,11,November,4,28,Monday,False,Low,Active,High Risk,Small,1,398,295972.63,3,At Risk,0,0
559024,23245,SET OF 3 REGENCY CAKE TINS,4,2011-07-05 13:38:00,4.95,16616.0,United Kingdom,19.8,2011,7,July,3,5,Tuesday,False,Low,Active,High Risk,Small,15,2,500.42,1,Regular,0,0
570192,23076,ICE CREAM SUNDAE LIP GLOSS,24,2011-10-07 15:26:00,1.25,17509.0,United Kingdom,30.0,2011,10,October,4,7,Friday,False,Low,Active,Low Risk,Small,58,8,6115.14,1,Regular,0,0
579708,23209,LUNCH BAG VINTAGE DOILY ,10,2011-11-30 14:16:00,1.65,12682.0,France,16.5,2011,11,November,4,30,Wednesday,False,Low,Active,Low Risk,Small,4,52,24033.91,1,Regular,0,0
570720,21983,PACK OF 12 BLUE PAISLEY TISSUES ,24,2011-10-12 10:50:00,0.29,17934.0,United Kingdom,6.959999999999999,2011,10,October,4,12,Wednesday,False,Low,Active,Low Risk,Small,52,3,1049.15,1,Regular,0,0
552852,22984,CARD GINGHAM ROSE ,12,2011-05-11 15:08:00,0.42,16712.0,United Kingdom,5.04,2011,5,May,2,11,Wednesday,False,Low,Active,Low Risk,Small,9,13,4266.99,1,Regular,0,0
524311,21805,WHITE CHRISTMAS TREE DECORATION ,15,2010-09-28 14:09:00,0.42,17841.0,United Kingdom,6.3,2010,9,September,3,28,Tuesday,False,Low,Active,Low Risk,Small,2,211,70884.07,2,Loyal,0,0
525030,21931,JUMBO STORAGE BAG SUKI,10,2010-10-03 12:18:00,1.95,15351.0,United Kingdom,19.5,2010,10,October,4,3,Sunday,True,Low,Active,Low Risk,Small,12,10,3738.29,1,Regular,0,0
492814,21326,AGED GLASS SILVER T-LIGHT HOLDER,144,2009-12-20 13:17:00,0.55,14560.0,United Kingdom,79.2,2009,12,December,4,20,Sunday,True,Medium,Active,Low Risk,Small,7,44,6114.03,1,Regular,0,0
504571,21506,"FANCY FONT BIRTHDAY CARD, ",12,2010-04-14 14:38:00,0.42,15572.0,United Kingdom,5.04,2010,4,April,2,14,Wednesday,False,Low,Active,Low Risk,Small,5,10,4068.67,1,Regular,0,0
503968,22521,CHILDS GARDEN TROWEL PINK,12,2010-04-08 17:15:00,0.85,15129.0,United Kingdom,10.2,2010,4,April,2,8,Thursday,False,Low,Active,Low Risk,Small,50,23,6860.18,1,Regular,0,0
500336,72008,FROSTED BOX 9 WHITE T-LIGHT CANDLES,3,2010-03-07 13:48:00,0.42,17589.0,United Kingdom,1.26,2010,3,March,1,7,Sunday,True,Low,Active,High Risk,Small,60,18,14049.87,1,Regular,0,0
575840,23507,MINI PLAYING CARDS BUFFALO BILL ,20,2011-11-11 11:56:00,0.42,13137.0,United Kingdom,8.4,2011,11,November,4,11,Friday,False,Low,Active,Low Risk,Small,11,16,7712.7,1,Regular,0,0
504893,84658,WHITE STITCHED CUSHION COVER,2,2010-04-18 14:06:00,6.95,15972.0,United Kingdom,13.9,2010,4,April,2,18,Sunday,True,Low,At Risk,High Risk,Small,456,5,1810.27,0,VIP,1,1
520745,22109,FULL ENGLISH BREAKFAST PLATE,16,2010-08-31 10:47:00,3.39,14032.0,United Kingdom,54.24,2010,8,August,3,31,Tuesday,False,Medium,Active,Low Risk,Small,2,16,4850.27,1,Regular,0,0
555005,21790,VINTAGE SNAP CARDS,144,2011-05-31 09:38:00,0.72,16656.0,United Kingdom,103.68,2011,5,May,2,31,Tuesday,False,Medium,Active,Low Risk,Medium,22,30,16833.170000000002,1,Regular,0,0
509417,22606,WOODEN SKITTLES GARDEN SET,1,2010-05-23 12:56:00,15.95,17081.0,United Kingdom,15.95,2010,5,May,2,23,Sunday,True,Low,Active,High Risk,Small,25,6,964.39,1,Regular,0,0
538182,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-10 10:18:00,2.95,17827.0,United Kingdom,17.700000000000003,2010,12,December,4,10,Friday,False,Low,Active,Low Risk,Small,5,6,2388.05,1,Regular,0,0
553879,21155,RED RETROSPOT PEG BAG,6,2011-05-19 15:15:00,2.55,15791.0,United Kingdom,15.3,2011,5,May,2,19,Thursday,False,Low,Active,Low Risk,Small,44,5,3608.34,1,Regular,0,0
566400,22193,RED DINER WALL CLOCK,2,2011-09-12 13:16:00,8.5,17139.0,United Kingdom,17.0,2011,9,September,3,12,Monday,False,Low,Active,High Risk,Small,16,25,19584.46,1,Regular,0,0
490677,22300,COFFEE MUG DOG + BALL DESIGN,12,2009-12-07 13:17:00,2.55,18219.0,United Kingdom,30.6,2009,12,December,4,7,Monday,False,Low,Active,Low Risk,Small,3,17,3562.89,1,Regular,0,0
559108,22174,PHOTO CUBE,48,2011-07-06 11:42:00,1.48,13094.0,United Kingdom,71.03999999999999,2011,7,July,3,6,Wednesday,False,Medium,Active,Low Risk,Small,21,13,2433.1200000000003,1,Regular,0,0
